ARCHIV_LEISTSTA.WEB_VERF_NOV  SMALLINT
ARCHIV_LEISTSTA.WEB_VERF_DEZ  SMALLINT
ARCHIV_LEISTSTA.BILD_LINK  VARCHAR(255)
ARCHIV_LEISTSTA.BARKASS_SPERREN  SMALLINT
ARCHIV_LEISTSTA.WEB_TEXT  VARCHAR(512)
ARCHIV_LEISTSTA.WEBMX_IMMER_AUF_1  INTEGER
ARCHIV_LEISTSTA.PR_CODE  INTEGER
ARCHIV_LEISTSTA.WIWA_BESTAND  INTEGER
ARCHIV_LEISTSTA.WIWA_EINHEIT  INTEGER
ARCHIV_LEISTSTA.WGKASS_SET_NR  INTEGER
